index,DiagonalNonZeros,AbsoluteTrace,OneNorm,Trace,Dimension,SymmeticInfinityNorm,DiagonalMean,solver,label,time
178,20002.0,334033.0,48.0,345488.0,20002.0,48.0,17.2727,26415432.0,0.0,0.00029397
179,20002.0,334033.0,48.0,345488.0,20002.0,48.0,17.2727,75830645.0,0.0,0.00032115
180,20002.0,334033.0,48.0,345488.0,20002.0,48.0,17.2727,75830647.0,0.0,0.00031495
181,20002.0,334033.0,50.0,346439.0,20002.0,50.0,17.3202,26415434.0,0.0,0.00029802
182,20002.0,334033.0,50.0,346439.0,20002.0,50.0,17.3202,26415432.0,0.0,0.00029993
183,20002.0,334033.0,50.0,346439.0,20002.0,50.0,17.3202,45869640.0,0.0,0.00026608
184,20002.0,334033.0,50.0,346439.0,20002.0,50.0,17.3202,75830645.0,0.0,0.00032282
185,20002.0,334033.0,50.0,346439.0,20002.0,50.0,17.3202,75830647.0,0.0,0.00032806
186,20002.0,335367.0,48.0,346631.0,20002.0,48.0,17.3298,26415434.0,0.0,0.00030804
187,20002.0,335367.0,48.0,346631.0,20002.0,48.0,17.3298,26415432.0,0.0,0.00029707
188,20002.0,335367.0,48.0,346631.0,20002.0,48.0,17.3298,45869640.0,0.0,0.00026703
189,20002.0,335367.0,48.0,346631.0,20002.0,48.0,17.3298,75830645.0,0.0,0.0003221
190,20002.0,335367.0,48.0,346631.0,20002.0,48.0,17.3298,75830647.0,0.0,0.00032306
191,20002.0,335367.0,48.0,346624.0,20002.0,48.0,17.3294,26415432.0,0.0,0.00020289
192,20002.0,334033.0,49.0,344915.0,20002.0,49.0,17.244,26415432.0,0.0,0.00020885
193,20002.0,334033.0,49.0,344915.0,20002.0,49.0,17.244,45869640.0,0.0,0.00026298
194,20002.0,334033.0,50.0,346439.0,20002.0,50.0,17.3202,26415434.0,0.0,0.00032806
195,20002.0,334033.0,50.0,346439.0,20002.0,50.0,17.3202,45869640.0,0.0,0.00026894
196,20002.0,334033.0,50.0,346439.0,20002.0,50.0,17.3202,75830645.0,0.0,0.0003221
197,20002.0,334033.0,50.0,346439.0,20002.0,50.0,17.3202,75830647.0,0.0,0.00031781
198,20002.0,334033.0,49.0,345368.0,20002.0,49.0,17.2667,26415432.0,0.0,0.00020909
199,20002.0,334033.0,49.0,345368.0,20002.0,49.0,17.2667,45869640.0,0.0,0.00026512
200,20002.0,334033.0,49.0,344915.0,20002.0,49.0,17.244,26415434.0,0.0,0.00031018
