rank,speed_loss,rank_loss,label
205,-8.297000000000003e-05,4051,0.0
206,-8.010999999999999e-05,914,0.0
207,-8.177e-05,1483,0.0
208,-8.392000000000002e-05,-187,0.0
209,-7.915e-05,1583,0.0
210,-8.010999999999999e-05,669,0.0
211,-7.891000000000002e-05,923,0.0
212,-2.0980000000000006e-05,4915,0.0
213,-8.082e-05,4275,0.0
214,-7.605000000000003e-05,2561,0.0
215,-7.915e-05,2987,0.0
216,-8.392000000000002e-05,51,0.0
217,-8.392000000000002e-05,2990,0.0
218,-7.987e-05,3678,0.0
219,-8.607e-05,5307,0.0
220,-8.797000000000004e-05,1186,0.0
221,-7.891000000000002e-05,1244,0.0
222,-7.915999999999997e-05,3387,0.0
223,-9.322e-05,790,0.0
224,-7.701e-05,349,0.0
225,-8.202e-05,3191,0.0
226,-7.891999999999998e-05,1031,0.0
227,-8.320999999999998e-05,4545,0.0
228,-8.010999999999996e-05,282,0.0
229,-8.392e-05,5344,0.0
230,-9.202999999999997e-05,4384,0.0
231,-8.392e-05,243,0.0
232,-9.297999999999997e-05,2967,0.0
233,-8.106000000000001e-05,4016,0.0
234,-8.202e-05,4469,0.0
235,-7.795999999999999e-05,3846,0.0
236,-7.701000000000002e-05,4114,0.0
237,-7.987e-05,136,0.0
238,-8.678000000000006e-05,1266,0.0
239,-8.583000000000001e-05,-64,0.0
240,-8.011000000000002e-05,1488,0.0
241,-7.820999999999997e-05,2367,0.0
242,-7.629999999999998e-05,3246,0.0
243,-8.011000000000002e-05,846,0.0
244,-7.390999999999998e-05,1474,0.0
245,-7.701e-05,2474,0.0
246,-5.198e-05,1490,0.0
247,-5.220999999999999e-05,4180,0.0
248,-4.529999999999999e-05,4536,0.0
249,-4.6249999999999986e-05,3246,0.0
250,-5.0070000000000014e-05,3272,0.0
251,-7.104999999999999e-05,472,0.0
252,-5.03e-05,555,0.0
253,-4.6969999999999965e-05,3376,0.0
254,-4.7920000000000016e-05,4427,0.0
255,-4.6969999999999965e-05,32,0.0
256,-7.795999999999997e-05,1793,0.0
257,-8.726e-05,3767,0.0
258,-8.13e-05,2926,0.0
259,-9.108000000000003e-05,1734,0.0
260,-7.606e-05,4210,0.0
261,-7.414999999999999e-05,640,0.0
262,-7.486e-05,2909,0.0
263,-7.892000000000001e-05,3824,0.0
264,-7.987e-05,4033,0.0
265,-7.581999999999999e-05,194,0.0
266,-7.892000000000001e-05,-88,0.0
267,4.050000000000017e-06,4142,0.0
268,-7.391e-05,5291,0.0
269,-7.391e-05,5308,0.0
270,-8.701999999999999e-05,1002,0.0
271,-7.796000000000002e-05,-68,0.0
272,-7.892000000000001e-05,-247,0.0
