Average.clustering.coefficient,Diameter..longest.shortest.path.,Edges.in.largest.SCC,Edges.in.largest.WCC,Fraction.of.closed.triangles,Nodes.in.largest.SCC,Nodes.in.largest.WCC,Number.of.triangles,X90.percentile.effective.diameter,algorithm,classif,dataset,nedges,nthreads,nvertices,package,runtime
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,87.0,16777216.0,1.0,1048576.0,2.0,0.0009271539999999999
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,89.0,16777216.0,1.0,1048576.0,2.0,0.001002172
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,91.0,16777216.0,1.0,1048576.0,2.0,0.0010012719999999999
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,93.0,16777216.0,1.0,1048576.0,2.0,0.001000477
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,95.0,16777216.0,1.0,1048576.0,2.0,0.0009990889999999999
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,99.0,16777216.0,1.0,1048576.0,2.0,0.001001537
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,101.0,16777216.0,1.0,1048576.0,2.0,0.001000898
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,103.0,16777216.0,1.0,1048576.0,2.0,0.0010008760000000002
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,105.0,16777216.0,1.0,1048576.0,2.0,0.001000293
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,107.0,16777216.0,1.0,1048576.0,2.0,0.000885583
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,109.0,16777216.0,1.0,1048576.0,2.0,0.001000807
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,111.0,16777216.0,1.0,1048576.0,2.0,0.0009996669999999999
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,113.0,16777216.0,1.0,1048576.0,2.0,0.000866885
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,115.0,16777216.0,1.0,1048576.0,2.0,0.000377104
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,117.0,16777216.0,1.0,1048576.0,2.0,0.000999962
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,119.0,16777216.0,1.0,1048576.0,2.0,0.00100052
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,121.0,16777216.0,1.0,1048576.0,2.0,0.0009994469999999999
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,123.0,16777216.0,1.0,1048576.0,2.0,0.0010004480000000001
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,125.0,16777216.0,1.0,1048576.0,2.0,0.001001408
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,127.0,16777216.0,1.0,1048576.0,2.0,0.000926915
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,129.0,16777216.0,1.0,1048576.0,2.0,0.0010023669999999999
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,131.0,16777216.0,1.0,1048576.0,2.0,0.001001462
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,133.0,16777216.0,1.0,1048576.0,2.0,0.000986481
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,135.0,16777216.0,1.0,1048576.0,2.0,0.001001607
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,137.0,16777216.0,1.0,1048576.0,2.0,0.0003666
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,139.0,16777216.0,1.0,1048576.0,2.0,0.001000483
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,141.0,16777216.0,1.0,1048576.0,2.0,0.0010013560000000001
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,143.0,16777216.0,1.0,1048576.0,2.0,0.0010021239999999999
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,145.0,16777216.0,1.0,1048576.0,2.0,0.001001934
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,147.0,16777216.0,1.0,1048576.0,2.0,0.0010006560000000002
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,149.0,16777216.0,1.0,1048576.0,2.0,0.0010017889999999999
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,151.0,16777216.0,1.0,1048576.0,2.0,0.001001333
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,153.0,16777216.0,1.0,1048576.0,2.0,0.000356282
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,155.0,16777216.0,1.0,1048576.0,2.0,0.001001207
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,157.0,16777216.0,1.0,1048576.0,2.0,0.001000823
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,159.0,16777216.0,1.0,1048576.0,2.0,0.001000165
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,161.0,16777216.0,1.0,1048576.0,2.0,0.000458996
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,163.0,16777216.0,1.0,1048576.0,2.0,0.0009986230000000001
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,good,165.0,16777216.0,1.0,1048576.0,2.0,0.000366263
