Average.clustering.coefficient,Diameter..longest.shortest.path.,Edges.in.largest.SCC,Edges.in.largest.WCC,Fraction.of.closed.triangles,Nodes.in.largest.SCC,Nodes.in.largest.WCC,Number.of.triangles,X90.percentile.effective.diameter,algorithm,classif,dataset,nedges,nthreads,nvertices,package,runtime
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,193.0,7600595.0,40.0,685230.0,4.0,0.082189375
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,194.0,7600595.0,48.0,685230.0,0.0,0.027806875
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,194.0,7600595.0,48.0,685230.0,4.0,0.07844881299999999
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,195.0,7600595.0,56.0,685230.0,0.0,0.03290375
0.5967,514.0,0.595,0.987,0.002746,0.489,0.956,64690980.0,9.9,0.0,bad,195.0,7600595.0,56.0,685230.0,4.0,0.10826956300000001
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,bad,0.0,15038083.0,1.0,382219.0,4.0,0.120804875
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,bad,2.0,15038083.0,2.0,382219.0,4.0,0.066205
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,bad,5.0,15038083.0,4.0,382219.0,4.0,0.03511675
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,bad,9.0,15038083.0,8.0,382219.0,4.0,0.029999937999999997
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,bad,1.0,15038083.0,16.0,382219.0,4.0,0.01544525
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,bad,4.0,15038083.0,32.0,382219.0,4.0,0.042582062999999996
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,bad,6.0,15038083.0,40.0,382219.0,4.0,0.06125775
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,bad,7.0,15038083.0,48.0,382219.0,4.0,0.080481313
0.78,12.0,0.998,0.998,0.06224,0.98,0.98,346813199.0,4.2,0.0,bad,8.0,15038083.0,56.0,382219.0,4.0,0.110477375
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,177.0,1921660.0,1.0,1379917.0,1.0,0.0760625
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,177.0,1921660.0,1.0,1379917.0,0.0,0.07700499999999999
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,177.0,1921660.0,1.0,1379917.0,4.0,0.5305228129999999
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,179.0,1921660.0,2.0,1379917.0,1.0,0.0698125
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,179.0,1921660.0,2.0,1379917.0,0.0,0.072854375
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,179.0,1921660.0,2.0,1379917.0,4.0,0.38098775
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,182.0,1921660.0,4.0,1379917.0,1.0,0.07375
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,182.0,1921660.0,4.0,1379917.0,0.0,0.050628125
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,182.0,1921660.0,4.0,1379917.0,4.0,0.260173625
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,186.0,1921660.0,8.0,1379917.0,1.0,0.1024375
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,186.0,1921660.0,8.0,1379917.0,0.0,0.037420625
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,186.0,1921660.0,8.0,1379917.0,4.0,0.195128938
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,178.0,1921660.0,16.0,1379917.0,1.0,0.1739375
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,178.0,1921660.0,16.0,1379917.0,0.0,0.030955
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,178.0,1921660.0,16.0,1379917.0,4.0,0.14771375
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,180.0,1921660.0,24.0,1379917.0,1.0,0.2730625
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,180.0,1921660.0,24.0,1379917.0,0.0,0.03188875
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,180.0,1921660.0,24.0,1379917.0,4.0,0.13071125
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,181.0,1921660.0,32.0,1379917.0,1.0,0.3206875
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,181.0,1921660.0,32.0,1379917.0,0.0,0.19861375
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,181.0,1921660.0,32.0,1379917.0,4.0,0.149761688
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,183.0,1921660.0,40.0,1379917.0,1.0,0.3108125
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,183.0,1921660.0,40.0,1379917.0,0.0,0.237756875
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,183.0,1921660.0,40.0,1379917.0,4.0,0.2409505
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,184.0,1921660.0,48.0,1379917.0,1.0,0.3144375
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,184.0,1921660.0,48.0,1379917.0,0.0,0.2829475
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,184.0,1921660.0,48.0,1379917.0,4.0,0.269991375
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,185.0,1921660.0,56.0,1379917.0,1.0,0.314625
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,185.0,1921660.0,56.0,1379917.0,0.0,0.3466575
0.047,1056.0,0.978,0.978,0.020909999999999998,0.9790000000000001,0.9790000000000001,82869.0,670.0,0.0,bad,185.0,1921660.0,56.0,1379917.0,4.0,0.289715063
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,41.0,16777216.0,1.0,1048576.0,1.0,0.40700000000000003
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,41.0,16777216.0,1.0,1048576.0,0.0,0.046804000000000005
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,41.0,16777216.0,1.0,1048576.0,3.0,0.47297338299999997
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,41.0,16777216.0,1.0,1048576.0,4.0,0.2729296
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,43.0,16777216.0,1.0,1048576.0,3.0,2.52535
0.0957,7.0,1.0,1.0,0.013219999999999999,0.9990000000000001,0.9990000000000001,423625371.0,3.6,0.0,bad,45.0,16777216.0,1.0,1048576.0,1.0,0.40399999999999997
